Diametro Periodo Grupo
20 Herrera 1
10 Herrera 1
10 Herrera 1
10 Herrera 1
10 Herrera 1
10 Herrera 1
10 Herrera 1
10 Herrera 1
10 Herrera 1
10 Herrera 1
10 Herrera 1
10 Herrera 1
10 Herrera 1
10 Herrera 1
10 Herrera 1
10 Herrera 1
10 Herrera 1
10 Herrera 1
10 Herrera 1
10 Herrera 1
10 Herrera 1
10 Herrera 1
10 Herrera 1
10 Herrera 1
10 Herrera 1
10 Herrera 1
10 Herrera 1
10 Herrera 1
10 Herrera 1
10 Herrera 1
10 Herrera 1
100 Herrera 1
11 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
12 Herrera 1
13 Herrera 1
13 Herrera 1
13 Herrera 1
13 Herrera 1
13 Herrera 1
13 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
14 Herrera 1
15 Herrera 1
15 Herrera 1
15 Herrera 1
15 Herrera 1
15 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
16 Herrera 1
17 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
18 Herrera 1
19 Herrera 1
19 Herrera 1
2 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
20 Herrera 1
21 Herrera 1
21 Herrera 1
21 Herrera 1
21 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
22 Herrera 1
24 Herrera 1
24 Herrera 1
24 Herrera 1
24 Herrera 1
24 Herrera 1
