ID X Y Arenoso Desgrasante_Gris Desgrasante_Tiesto Funza_Cuarzo_Abundante Funza_Cuarzo_Fino Guatavita_Desgrasante_Tiesto Tipo_Indeterminado Laminar_Duro Montalvo_Negro_sobre_Rojo Mosquera_Roca_Triturada Mosquera_Rojo_Inciso NA Pubenza_Policromo Pubenza_Rojo_Bañado Raquira Roca_Triturada Suta_Arenoso Tunjuelo_Laminar Valle_De_Tenza_Gris Vidriado Zipaquira_Desgrasante_Tiesto Zipaquira_Rojo_Sobre_Crema Total_Ceramica Copa Cuenco Figurina Forma_Indeterminada Jarra Mucura Ofrendatario Olla Olla_cuenco Paila Pesa_de_red Plato Volante_de_Huso Colonia Colonial_total_ponderado Herrera Herrera_ponderado Herrera_Foraneo Herrera_Foraneo_ponderado Herrera_total_ponderado Periodo_Indeterminado Tardio Tardio_ponderado Tardio_Foraneo Tardio_Foraneo_ponderado Tardio_total_ponderado Temprano Temprano_ponderado Temprano_Foraneo Temprano_Foraneo_ponderado Temprano_total_ponderado Vidriado4 Copa_Herrera Copa_Herrera_Foraneo Copa_NA Copa_Tardio Copa_Tardio_Foraneo Copa_Temprano Cuenco_Colonia Cuenco_Herrera Cuenco_Herrera_Foraneo Cuenco_Indeterminado Cuenco_NA Cuenco_Tardio Cuenco_Tardio_Foraneo Cuenco_Temprano Cuenco_Temprano_Foraneo Cuenco_Vidriado Figurina_Herrera Figurina_Tardio Figurina_Temprano Indeterminado_Colonia Indeterminado_Herrera Indeterminado_Tardio Indeterminado_Tardio_Foraneo Indeterminado_Temprano Indeterminado_Temprano_Foraneo Jarra_Herrera Jarra_Tardio Jarra_Tardio_Foraneo Jarra_Temprano Mucura_Herrera Mucura_Tardio Mucura_Temprano Ofrendatario_Herrera Olla_Colonia Olla_cuenco_Temprano Olla_Herrera Olla_Herrera_Foraneo Olla_Indeterminado Olla_NA Olla_Tardio Olla_Tardio_Foraneo Olla_Temprano Olla_Temprano_Foraneo Olla_Vidriado Paila_Temprano Pesa_de_red_Temprano Plato_Herrera Plato_Tardio Plato_Temprano Plato_Temprano_Foraneo Plato_Vidriado Volante_de_Huso_Herrera Volante_de_Huso_Tardio Decorado No_decorado Colonia_Decorado Colonia_No_decorado Herrera_Decorado Herrera_Foraneo_Decorado Herrera_Foraneo_No_decorado Herrera_No_decorado Indeterminado_Decorado Indeterminado_No_decorado Tardio_Decorado Tardio_Foraneo_Decorado Tardio_Foraneo_No_decorado Tardio_No_decorado Temprano_Decorado Temprano_Foraneo_Decorado Temprano_Foraneo_No_decorado Temprano_No_decorado Vidriado_Decorado Vidriado_No_decorado
100.F9 977015.7195 997342.0678 0 2 0 2 0 0 0 0 0 37 6 0 0 0 0 0 0 0 0 0 8 7 62 0 40 0 0 0 0 0 22 0 0 0 0 0 0 0 58 0.096666667 0 0 0.096666667 0 2 0.003333333 0 0 0.003333333 2 0.0025 0 0 0.0025 0 0 0 0 0 0 0 0 36 0 0 0 2 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 22 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 62 0 0 0 0 0 58 0 0 0 0 0 2 0 0 0 2 0 0
80.D9 977063.2927 997399.2055 0 1 0 4 0 0 0 0 0 11 2 0 0 0 0 0 0 0 0 0 0 44 62 0 51 0 1 0 0 0 10 0 0 0 0 0 0 0 57 0.095 0 0 0.095 0 1 0.001666667 0 0 0.001666667 4 0.005 0 0 0.005 0 0 0 0 0 0 0 0 49 0 0 0 0 0 2 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 32 30 0 0 31 0 0 26 0 0 0 0 0 1 1 0 0 3 0 0
80.C9 977062.792 997401.1468 0 0 0 3 0 0 0 0 0 18 6 0 0 0 0 0 0 0 0 0 1 18 46 1 40 0 0 0 0 0 5 0 0 0 0 0 0 0 43 0.071666667 0 0 0.071666667 0 0 0 0 0 0 3 0.00375 0 0 0.00375 0 1 0 0 0 0 0 0 38 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 40 6 0 0 39 0 0 4 0 0 0 0 0 0 1 0 0 2 0 0
12A.I9 977133.6236 997447.7361 0 2 0 14 0 1 2 0 0 24 2 0 0 0 0 0 0 0 0 0 0 0 45 0 29 0 0 0 0 0 16 0 0 0 0 0 0 0 26 0.043333333 0 0 0.043333333 2 3 0.005 0 0 0.005 14 0.0175 0 0 0.0175 0 0 0 0 0 0 0 0 13 0 2 0 2 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 0 0 0 1 0 2 0 0 0 0 0 0 0 0 0 0 0 11 34 0 0 10 0 0 16 1 1 0 0 0 3 0 0 0 14 0 0
16.B3 977224.3955 997464.1319 0 6 0 18 0 3 0 0 0 12 6 0 0 0 0 0 0 0 0 0 0 0 45 0 36 0 0 0 0 0 9 0 0 0 0 0 0 0 18 0.03 0 0 0.03 0 9 0.015 0 0 0.015 18 0.0225 0 0 0.0225 0 0 0 0 0 0 0 0 18 0 0 0 4 0 14 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 4 0 0 0 0 0 0 0 0 0 0 0 8 37 0 0 8 0 0 10 0 0 0 0 0 9 0 0 0 18 0 0
55.H9 977128.2597 997386.5727 0 0 0 4 0 0 0 0 0 26 8 0 0 0 0 0 0 0 0 0 0 7 45 0 29 0 0 0 0 0 16 0 0 0 0 0 0 0 41 0.068333333 0 0 0.068333333 0 0 0 0 0 0 4 0.005 0 0 0.005 0 0 0 0 0 0 0 0 27 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 14 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 18 27 0 0 18 0 0 23 0 0 0 0 0 0 0 0 0 4 0 0
46.G9 977127.8308 997470.9696 0 8 0 6 0 0 0 0 0 19 4 0 0 0 0 0 0 0 0 0 3 4 44 0 29 0 0 0 0 0 15 0 0 0 0 0 0 0 30 0.05 0 0 0.05 0 8 0.013333333 0 0 0.013333333 6 0.0075 0 0 0.0075 0 0 0 0 0 0 0 0 22 0 0 0 3 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 5 0 2 0 0 0 0 0 0 0 0 0 0 0 0 44 0 0 0 0 0 30 0 0 0 0 0 8 0 0 0 6 0 0
78.B3 977064.3253 997444.8172 0 6 0 9 0 0 0 0 0 29 0 0 0 0 0 0 0 0 0 0 0 0 44 0 29 0 0 0 0 0 15 0 0 0 0 0 0 0 29 0.048333333 0 0 0.048333333 0 6 0.01 0 0 0.01 9 0.01125 0 0 0.01125 0 0 0 0 0 0 0 0 23 0 0 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 6 0 3 0 0 0 0 0 0 0 0 0 0 0 4 40 0 0 4 0 0 25 0 0 0 0 0 6 0 0 0 9 0 0
50.H5 977111.9008 997485.5339 0 18 0 21 0 0 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 43 0 18 0 0 0 0 0 25 0 0 0 0 0 0 0 4 0.006666667 0 0 0.006666667 0 18 0.03 0 0 0.03 21 0.02625 0 0 0.02625 0 0 0 0 0 0 0 0 4 0 0 0 8 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 15 0 0 0 0 0 0 0 0 0 0 0 3 40 0 0 2 0 0 2 0 0 1 0 0 17 0 0 0 21 0 0
16.D9 977213.6548 997457.3585 0 2 0 8 0 0 0 0 0 24 8 0 0 0 0 0 0 0 0 0 0 0 42 0 22 0 0 1 0 0 19 0 0 0 0 0 0 0 32 0.053333333 0 0 0.053333333 0 2 0.003333333 0 0 0.003333333 8 0.01 0 0 0.01 0 0 0 0 0 0 0 0 18 0 0 0 1 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 14 0 0 0 1 0 4 0 0 0 0 0 0 0 0 0 0 0 23 19 0 0 19 0 0 13 0 0 1 0 0 1 3 0 0 5 0 0
