Corte Cuadricula Nivel Tipos_Ceramicos Diametro Forma
1 A 9 Funza_Cuarzo_Abundante 16 Cuenco
1 A1 1 Funza_Cuarzo_Abundante 12 Indeterminado
1 A1 1 Funza_Cuarzo_Abundante 10 Olla
1 A1 1 Funza_Cuarzo_Abundante 14 Olla
4 E14 1 Funza_Cuarzo_Abundante 12 Copa
4 B10 1 Desgrasante_Gris 4 Cuenco
4 F 1 Guatavita_Desgrasante_Tiesto 14 Olla
4 E9 1 Guatavita_Desgrasante_Tiesto 16 Olla
4 D11 1 Guatavita_Desgrasante_Tiesto 16 Olla
4 F7 1 Zipaquira_Desgrasante_Tiesto 20 Olla
4 A13 1 Zipaquira_Desgrasante_Tiesto 18 Olla
4 B9 1 Guatavita_Desgrasante_Tiesto 26 Indeterminado
4 B11 1 Funza_Cuarzo_Abundante 18 Cuenco
4 B12 1 Funza_Cuarzo_Abundante NA Cuenco
4 B7 1 Funza_Cuarzo_Abundante 26 Cuenco
4 B9 1 Funza_Cuarzo_Abundante 18 Cuenco
4 D5 1 Desgrasante_Gris 6 Cuenco
4 E15 1 Funza_Cuarzo_Abundante 8 Cuenco
4 B5 1 Desgrasante_Gris 24 Olla
4 E4 1 Desgrasante_Gris 2 Cuenco
4 E4 1 Funza_Cuarzo_Abundante 12 Cuenco
4 E4 1 Funza_Cuarzo_Abundante 12 Cuenco
4 E4 1 Funza_Cuarzo_Abundante NA Cuenco
4 C8 1 Funza_Cuarzo_Abundante 24 Cuenco
4 A8 1 Desgrasante_Gris 18 Olla
4 A8 1 Funza_Cuarzo_Abundante 16 Cuenco
4 A13 1 Funza_Cuarzo_Abundante 22 Cuenco
4 A13 1 Funza_Cuarzo_Abundante 24 Olla
4 A10 1 Desgrasante_Gris 14 Olla
4 E9 1 Funza_Cuarzo_Abundante 20 Cuenco
4 E9 1 Desgrasante_Gris 10 Cuenco
4 B5 1 Desgrasante_Gris 14 Olla
4 F10 1 Funza_Cuarzo_Abundante NA Cuenco
4 F10 1 Funza_Cuarzo_Abundante 16 Cuenco
4 F10 1 Mosquera_Rojo_Inciso 20 Cuenco
4 F12 1 Funza_Cuarzo_Abundante 14 Olla
4 F11 1 Guatavita_Desgrasante_Tiesto 28 Cuenco
4 F12 1 Desgrasante_Gris 22 Cuenco
4 F12 1 Desgrasante_Gris NA Cuenco
4 B6 1 Desgrasante_Gris 8 Olla
4 F9 1 Funza_Cuarzo_Abundante 12 Olla
4 F9 1 Funza_Cuarzo_Abundante NA Olla
4 F8 1 Funza_Cuarzo_Abundante 16 Olla
4 F12 1 Desgrasante_Gris 28 Cuenco
4 F12 1 Funza_Cuarzo_Abundante 12 Cuenco
4 F12 1 Funza_Cuarzo_Abundante 14 Cuenco
4 F7 1 Funza_Cuarzo_Abundante 20 Olla
4 F12 1 Funza_Cuarzo_Abundante 26 Cuenco
4 F6 1 Funza_Cuarzo_Abundante NA Olla
4 F13 1 Funza_Cuarzo_Abundante 30 Cuenco
4 F2 1 Desgrasante_Gris NA Cuenco
4 F2 1 Funza_Cuarzo_Abundante 12 Cuenco
4 F3 1 Desgrasante_Gris 12 Cuenco
4 F1 1 Funza_Cuarzo_Abundante 6 Olla
4 F1 1 Funza_Cuarzo_Abundante NA Olla
4 B6 1 Desgrasante_Gris 20 Olla
4 B9 1 Desgrasante_Gris 22 Olla
4 F3 1 Desgrasante_Gris 18 Cuenco
4 E10 1 Funza_Cuarzo_Abundante NA Olla
4 F4 1 Desgrasante_Gris 12 Cuenco
4 E9 1 Funza_Cuarzo_Abundante NA Olla
4 E9 1 Funza_Cuarzo_Abundante 10 Olla
4 F5 1 Funza_Cuarzo_Abundante 10 Cuenco
4 E9 1 Mosquera_Roca_Triturada 20 Olla
4 E15 1 Desgrasante_Gris NA Olla
4 E15 1 Desgrasante_Gris 4 Olla
4 F7 1 Funza_Cuarzo_Abundante 10 Cuenco
4 F7 1 Desgrasante_Gris 14 Cuenco
4 F7 1 Desgrasante_Gris NA Cuenco
4 E4 1 Funza_Cuarzo_Abundante 24 Olla
4 E3 1 Desgrasante_Gris 6 Olla
4 F7 1 Funza_Cuarzo_Abundante 36 Cuenco
4 F7 1 Guatavita_Desgrasante_Tiesto NA Cuenco
4 E4 1 Desgrasante_Gris 10 Olla
4 F8 1 Funza_Cuarzo_Abundante 26 Cuenco
4 E6 1 Desgrasante_Gris 10 Olla
4 F 1 Desgrasante_Gris 14 Olla
4 F12 1 Desgrasante_Gris 24 Olla
4 F13 1 Desgrasante_Gris 12 Olla
4 D14 1 Desgrasante_Gris 42 Cuenco
4 D14 1 Desgrasante_Gris 26 Cuenco
4 D13 1 Funza_Cuarzo_Abundante 20 Cuenco
4 D13 1 Funza_Cuarzo_Abundante 40 Cuenco
4 D11 1 Desgrasante_Gris 53 Olla
4 D11 1 Funza_Cuarzo_Abundante 24 Cuenco
4 D12 1 Desgrasante_Gris 20 Olla
4 D12 1 Desgrasante_Gris 10 Cuenco
4 D12 1 Desgrasante_Gris 10 Cuenco
4 D12 1 Funza_Cuarzo_Abundante 26 Cuenco
4 D8 1 Desgrasante_Gris 34 Cuenco
4 D8 1 Desgrasante_Gris 4 Cuenco
4 D8 1 Desgrasante_Gris 8 Cuenco
4 D8 1 Funza_Cuarzo_Abundante 18 Olla
4 D7 1 Funza_Cuarzo_Abundante 8 Olla
4 D7 1 Funza_Cuarzo_Abundante 8 Olla
4 D5 1 Desgrasante_Gris 16 Cuenco
4 D5 1 Desgrasante_Gris 12 Cuenco
4 D5 1 Funza_Cuarzo_Abundante 12 Cuenco
4 D5 1 Funza_Cuarzo_Abundante 28 Olla
4 D5 1 Funza_Cuarzo_Abundante 28 Olla
4 D4 1 Desgrasante_Gris 14 Olla
4 D4 1 Desgrasante_Gris 10 Olla
4 E15 1 Funza_Cuarzo_Abundante 18 Indeterminado
4 D15 1 Funza_Cuarzo_Abundante 18 Indeterminado
4 D2 1 Desgrasante_Gris 52 Olla
4 B14 1 Mosquera_Roca_Triturada 34 Olla
4 B13 1 Desgrasante_Gris 8 Olla
4 B13 1 Funza_Cuarzo_Abundante 20 Cuenco
4 B13 1 Funza_Cuarzo_Abundante 10 Cuenco
4 B13 1 Funza_Cuarzo_Abundante 20 Olla
4 C8 1 Desgrasante_Gris 26 Olla
4 C8 1 Funza_Cuarzo_Abundante 8 Olla
4 C8 1 Mosquera_Rojo_Inciso 18 Olla
4 C7 1 Desgrasante_Gris 20 Olla
4 C1 1 Desgrasante_Gris 22 Cuenco
4 C1 1 Funza_Cuarzo_Abundante 46 Olla
4 A15 1 Funza_Cuarzo_Abundante 48 Olla
4 A13 1 Funza_Cuarzo_Abundante 18 Cuenco
