ID X Y
100.1.5.15 977029.0854 997341.1133
100.11.5.19 977014.611 997342.1913
100.13.5.19 977012.1997 997348.4816
100.14.5.19 977027.29 997354.1762
100.15.5.19 977021.2534 997335.3286
100.2.5.19 977024.869 997353.1185
100.4.3.9 977024.4099 997339.8584
100.5.3.9 977025.5977 997343.6842
100.6.6.21 977022.3877 997340.044
100.7.3.9 977021.7895 997339.1457
100.8.3.8 977021.3776 997337.2246
100.9.6.22 977022.6494 997342.0245
101.10.5.15 977030.8509 997318.9303
101.11.6.24 977026.0718 997326.3185
101.12.6.24 977027.1564 997320.2747
101.13.5.19 977023.0732 997332.9683
101.18.5.16 977020.869 997320.3167
101.4.5.15 977035.1199 997319.8596
101.5.5.14 977032.0328 997326.1391
101.6.3.8 977030.3473 997324.6866
101.8.5.15 977030.7562 997322.4989
101.9.3.8 977031.9209 997320.7882
102.10.5.15 977037.54 997309.7395
102.12.5.19 977035.4914 997310.9862
102.16.5.18 977036.9743 997303.6358
102.18.3.7 977038.7412 997301.1198
102.2.3.11 977038.2873 997316.3907
102.21.5.16 977036.1259 997303.8033
102.25.3.10 977032.6486 997310.3991
102.27.3.8 977031.2857 997315.0652
102.29.3.9 977030.7877 997310.2604
102.30.6.21 977033.018 997309.078
102.31.5.15 977031.366 997309.1751
102.36.5.16 977027.4523 997305.0142
102.39.5.15 977029.7887 997310.0764
102.4.3.8 977039.568 997312.2491
102.43.6.22 977031.9589 997296.3212
102.46.3.12 977026.3091 997307.3068
102.53.5.15 977021.9479 997311.2997
102.54.5.15 977021.2367 997311.1408
102.56.3.9 977024.2374 997300.6001
102.8.3.9 977040.306 997299.1178
102.8A.5.14 977040.6703 997298.5455
102.8B.6.21 977040.6967 997297.9678
104.1.5.16 976982.5303 997387.5337
104.5.5.16.1 976984.132 997404.7245
104.6.3.8 976990.2669 997401.1768
105.16.5.18 976998.5041 997377.0526
105.18.5.15.1 976985.8858 997374.5952
105.19.5.16 976985.6474 997371.795
105.20.5.18 976994.2855 997371.6807
105.23.5.16 976983.0829 997377.9027
106.1.3.13 976997.5174 997358.6346
106.10.11.5.15 976996.6715 997358.9111
106.12.3.12 976995.9323 997353.6865
106.13.5.15 976989.5375 997365.4528
106.2.3.11 977006.0077 997363.8002
106.3.3.11 977004.947 997364.0458
106.6.6.21 977002.1944 997359.0438
106.7.5.18 977002.088 997358.1886
107.11.5.15.1 977003.4793 997336.7946
107.12.5.16 977010.7971 997336.8548
107.14.3.8 976995.2361 997332.8107
107.3.6.24 977003.2112 997341.8283
107.4.5.16 976994.1755 997340.8928
108.37.5.15 977010.8501 997313.4585
108.38.3.8 977012.3038 997314.0389
108.70.5.15 977001.6982 997311.9872
108.71.5.15 977000.4262 997310.9877
108.72.3.8 977015.0275 997315.0203
