ID X Y Grupo Forma Area Herrera Temprano Tardio Construcciones Reconstrucciones Reconstruida Herrera_ Temprano_ Tardio_
16 977079.0204 997394.6138 1 Circular 38.27 Herrera NA NA 1 0 No 1 0 0
19 977015.763 997322.1029 1 Circular 28.22 Herrera Temprano NA 1 0 No 1 1 0
20 977011.2528 997312.4098 1 Rectangular 132.69 NA Temprano Tardio 1 0 No 0 1 1
21 976993.2325 997307.0815 1 Rectangular 24.2 Herrera NA NA 1 0 No 1 0 0
26 977086.9609 997353.8744 1 Rectangular 153.42 Herrera Temprano Tardio 3 2 Si 1 1 1
39 977099.0977 997350.1913 1 Rectangular 66.14 Herrera Temprano Tardio 1 0 No 1 1 1
40 977089.1559 997376.5336 1 Circular 29.05 Herrera NA NA 1 0 No 1 0 0
5 977100.725 997491.5204 2 Rectangular 82.27 Herrera Temprano Tardio 1 0 No 1 1 1
18 977081.5596 997428.3871 2 Circular 41.64 Herrera NA NA 1 0 No 1 0 0
22 977073.6667 997482.8336 2 Rectangular 68.04 Herrera Temprano NA 2 1 Si 1 1 0
23 977111.4624 997508.7474 2 Rectangular 80.72 NA Temprano Tardio 1 0 No 0 1 1
24 977102.3157 997507.4085 2 Circular 9.42 NA Temprano Tardio 1 0 No 0 1 1
25 977077.5447 997466.4375 2 Circular 238.73 Herrera Temprano Tardio 3 2 Si 1 1 1
36 977097.9775 997469.214 2 Rectangular 95.33 Herrera Temprano Tardio 3 2 Si 1 1 1
37 977093.2531 997488.9805 2 Rectangular 71.45 NA Temprano Tardio 1 0 No 0 1 1
44 977055.2257 997455.0652 2 Rectangular 110.21 Herrera Temprano NA 1 0 No 1 1 0
45 977064.4257 997494.1948 2 Rectangular 98.53 NA Temprano NA 1 0 No 0 1 0
47 977057.0071 997423.0939 2 Circular 62.8 Herrera NA NA 1 0 No 1 0 0
12 977155.5476 997447.5942 3 Circular 31.1 Herrera NA NA 1 0 No 1 0 0
13 977160.4907 997436.1558 3 Circular 26.64 Herrera NA NA 1 0 No 1 0 0
14 977156.7908 997432.3621 3 Circular 20.95 Herrera NA NA 1 0 No 1 0 0
15 977117.7874 997398.8634 3 Circular 39.27 Herrera NA NA 1 0 No 1 0 0
17 977091.6495 997417.5777 3 Circular 37.47 Herrera NA NA 1 0 No 1 0 0
27 977150.7935 997418.2726 3 Rectangular 71.63 Herrera NA NA 1 0 No 1 0 0
28 977156.767 997409.9398 3 Rectangular 283.93 NA Temprano Tardio 3 2 Si 0 1 1
29 977161.7764 997386.5489 3 Rectangular 260.6 NA Temprano Tardio 3 2 Si 0 1 1
30 977192.2009 997411.2202 3 Circular 82.42 Herrera Temprano NA 2 1 Si 1 1 0
31 977178.4119 997416.9985 3 Rectangular 74.94 Herrera Temprano NA 1 0 No 1 1 0
32 977193.1448 997416.2155 3 Rectangular 283.44 NA Temprano Tardio 4 3 Si 0 1 1
33 977166.0122 997414.0659 3 Circular 138.05 Herrera NA NA 1 0 No 1 0 0
34 977148.4309 997381.0072 3 Rectangular 55.2 Herrera Temprano NA 1 0 No 1 1 0
35 977167.1802 997398.5886 3 Rectangular 212.58 NA Temprano Tardio 2 1 Si 0 1 1
41 977127.3066 997403.284 3 Circular 63.1 Herrera NA NA 1 0 No 1 0 0
42 977155.1213 997388.3372 3 Circular 61.96 Herrera Temprano NA 1 0 No 1 1 0
43 977179.7101 997392.4631 3 Circular 138.28 Herrera NA NA 3 2 Si 1 0 0
48 977194.27 997395.15 3 Rectangular 266.72 NA Temprano Tardio 4 3 Si 0 1 1
1 977151.2998 997534.4409 4 Rectangular 65.74 NA Temprano Tardio 1 0 No 0 1 1
2 977182.9176 997517.6113 4 Rectangular 151.15 NA Temprano Tardio 2 1 Si 0 1 1
3 977194.5708 997519.7958 4 Rectangular 175.66 Herrera Temprano Tardio 2 1 Si 1 1 1
4 977132.1013 997492.1941 4 Rectangular 44.52 NA Temprano Tardio 1 0 No 0 1 1
6 977177.2304 997489.8004 4 Circular 75.35 Herrera Temprano NA 4 3 Si 1 1 0
7 977213.7498 997481.9748 4 Circular 42.66 Herrera Temprano NA 2 1 Si 1 1 0
8 977204.6916 997480.3179 4 Circular 35.48 Herrera Temprano NA 1 0 No 1 1 0
9 977223.3556 997485.4263 4 Circular 21.95 Herrera Temprano NA 2 1 Si 1 1 0
10 977153.5814 997494.5242 4 Oval 65.05 NA Temprano Tardio 6 5 Si 0 1 1
11 977139.522 997492.6446 4 Circular 25.72 NA Temprano Tardio 1 0 No 0 1 1
38 977144.8284 997544.9891 4 Rectangular 62.77 NA Temprano Tardio 1 0 No 0 1 1
46 977165.9989 997488.1829 4 Oval 66.47 NA Temprano Tardio 2 1 Si 0 1 1
