ID X Y
1.2.1.0.1. 977081.7345 997491.1516
1.2.NI1.0.1. 977081.6801 997491.0335
100.3.0.1.0. 977027.8451 997339.0761
101.14.4.0.1. 977023.3101 997330.4814
101.15.0.1.0. 977021.9402 997329.8432
101.2.1.0.1. 977037.3628 997321.2125
101.3.3.0.1. 977034.0516 997328.937
101.7.2.0.1. 977029.9222 997332.6801
102.1.1.0.1. 977030.5531 997300.9042
102.14.24.7.0.1. 977034.0438 997304.7091
102.26.3.0.1. 977032.4899 997311.8529
102.3.2.0.1. 977039.0812 997314.7842
102.37.38.0.1.0. 977030.7483 997307.3154
102.41.4.0.1. 977031.3474 997302.4426
102.44.6.0.1. 977027.5002 997306.664
102.55.0.3.0. 977022.1738 997305.5716
102.7.0.2.0. 977042.2053 997299.5691
102.7A.5.0.1. 977041.303 997299.5117
103.2.1.0.1. 977039.1602 997292.1525
103.3.2.0.1. 977036.5725 997292.5958
107.13.0.2.0. 977008.9471 997334.5929
107.5.0.1.0. 976993.3952 997339.0215
108.27.3.0.1. 977008.4556 997311.6305
108.28.29.2.0.1. 977008.3326 997313.283
108.33.1.0.1. 977008.9248 997317.2556
108.36.4.0.1. 977010.7113 997315.2301
108.69.0.3.0. 977009.8387 997318.1672
108.77.0.1.0. 976998.1395 997319.4226
109.10.5.0.1. 977010.5737 997309.0282
109.11.12.6.0.1. 977008.2329 997308.4994
109.11A.1.0.1. 977007.2718 997309.733
109.18.0.12.0. 977005.3299 997309.3363
109.24.0.2.0. 977008.5073 997305.24
109.27.4.0.1. 977011.5396 997303.1723
109.28.28A.2.0.1. 977013.3566 997304.3789
109.3.0.4.0. 977017.6323 997309.581
109.35.56.0.5.0. 977020.8675 997308.1575
109.36.0.1.0. 977013.3808 997302.6205
109.37.0.7.0. 977013.8878 997301.0231
109.38.0.6.0. 977012.7747 997299.6729
109.40.0.9.0. 977010.6314 997298.4917
109.41.0.11.0. 977007.9043 997301.5149
109.42.3.0.1. 977007.493 997300.2909
109.47.0.8.0. 977013.3044 997297.3214
109.49.0.3.0. 977014.8881 997298.9721
109.9.0.10.0. 977010.3834 997307.4995
11.100.0.2.0. 977161.1124 997385.5862
11.102.0.3.0. 977158.0305 997381.4714
11.104.2.0.1. 977156.7497 997387.5519
11.104.2.0.2. 977156.7479 997387.4077
11.114.12.0.1. 977171.9983 997374.9024
11.115.10.0.1. 977172.4107 997382.3695
11.127.17.0.1. 977170.7748 997393.6609
11.13.14.15.16.17.0.1.0. 977171.1135 997402.9576
11.163.0.4.0. 977152.4372 997386.3105
11.220.13.0.1. 977171.0107 997405.7785
11.236.0.5.0. 977142.8398 997406.9573
11.238.8.0.1. 977144.4494 997407.8182
11.239.0.6.0. 977144.7857 997386.3611
11.267.9.0.1. 977145.9738 997407.6779
11.279.0.7.0. 977159.7828 997409.8366
11.288.5.0.1. 977151.4314 997406.8593
11.288.5.0.2. 977150.9287 997406.8441
11.294.0.8.0. 977146.1034 997404.5498
11.304.0.9.0. 977149.6764 997408.3187
11.309.0.13.0. 977152.0808 997409.1483
11.332.333.0.10.0. 977144.2069 997381.1261
11.336.0.12.0. 977148.0518 997374.7083
11.337.3.0.1. 977148.6426 997375.0337
11.354A.354B.0.14.0. 977143.0228 997416.3881
11.367.20.0.1. 977171.2171 997379.7161
11.377.0.15.0. 977155.6604 997415.6396
11.378.0.16.0. 977157.5759 997415.1447
11.436.0.17.0. 977168.5781 997419.5923
11.48.1.0.1. 977168.2323 997398.8533
11.52.0.11.0. 977170.1979 997395.1513
11.534.11.0.1. 977156.2489 997419.1185
11.534.11.0.2. 977156.2223 997418.929
11.629.14.0.1. 977154.1264 997395.315
11.630.15.0.1. 977153.7951 997389.5543
11.645.16.0.1. 977170.9339 997412.047
11.653.18.0.1. 977170.8282 997383.7504
11.678.19.0.1. 977170.9003 997386.6297
11.680.21.0.1. 977144.8185 997413.6397
11.76.6.0.1. 977169.4137 997381.0704
11.76.7.0.1. 977168.4152 997380.7959
11.80.4.0.1. 977166.7792 997382.8705
11.80.4.0.2. 977166.7542 997383.1563
111.2.1.0.1. 976967.3671 997396.6387
112.20.0.1.0. 976974.9748 997368.2139
113.5.0.1.0. 976981.2595 997347.983
114.4.0.1.0. 976985.0497 997330.7092
114.5.0.2.0. 976991.8468 997332.2759
114.7.2.0.1. 976985.4099 997328.3213
114.9.1.0.1. 976980.4071 997326.7387
115.14.3.0.1. 976987.1261 997317.3466
115.18.0.2.0. 976996.1243 997315.358
115.20.0.3.0. 976997.848 997313.7429
115.22.1.0.1. 976994.8476 997311.8656
115.24.0.1.0. 976986.0136 997308.0253
115.34.2.0.1. 976993.0139 997307.7629
115.36.4.0.0. 976991.7814 997307.4067
116.13.0.6.0. 976989.2172 997303.5091
116.13A.7.0.1. 976988.8918 997300.1918
116.14.0.9.0. 976989.7659 997302.423
116.14A.8.0.1. 976988.5928 997301.6345
116.19.0.5.0. 976994.4682 997301.8839
116.20.0.10.0. 976995.2507 997300.2243
116.22.0.11.0. 976991.9619 997301.6431
116.23.0.1.0. 976991.4051 997299.4882
116.23A.0.2.0. 976991.825 997298.7635
116.28.6.0.1. 976989.7607 997295.4452
116.29.4.0.1. 976991.0957 997296.7285
116.30.0.3.0. 976994.7364 997297.9543
116.33.0.4.0. 976998.3843 997300.4552
116.34.0.14.0. 977000.7266 997298.8672
116.34A.10.0.1. 976999.703 997299.0855
116.35.0.7.0. 976999.894 997297.5199
116.36.12.0.1. 976998.5416 997297.4231
116.37.2.0.1. 976995.0386 997294.006
116.37.2.0.2. 976994.8577 997294.0982
116.40.9.0.1. 976990.5378 997295.0812
116.43.3.0.1. 976993.091 997291.3298
116.46.0.8.0. 976989.4946 997290.2159
116.50.1.0.1. 976992.8155 997288.7999
116.52.0.12.0. 976987.4674 997293.3868
116.57.11.0.1. 976991.3239 997303.3802
116.58.5.0.1. 976988.3644 997296.7758
117.6.2.0.1. 976990.5125 997283.8893
11A.23.0.0.NI1. 977149.1169 997424.3846
12.2.20.1.0.1. 977131.5815 997454.7516
14.15.1.0.1. 977202.6818 997493.0841
14.16.4.0.1. 977204.028 997493.473
14.17.0.1.0. 977204.5209 997496.5725
14.2.2.0.1. 977212.4419 997499.2866
14.20.0.2.0. 977214.2767 997496.9084
14.3.5.0.1. 977207.2102 997505.4159
14.5.3.0.1. 977207.8959 997497.0156
15.31.2.0.1. 977204.9238 997482.2299
15.61.1.0.1. 977219.9688 997468.533
15A.5.1.0.1. 977208.489 997484.1944
16.10.1.0.1. 977216.6646 997453.9266
16.13.3.0.1. 977223.3131 997451.5128
16.18.0.1.0. 977230.6937 997448.7959
16.28.4.0.1. 977216.6333 997464.8183
16.33.5.0.1. 977213.0893 997459.2374
16.5.2.0.1. 977219.3228 997457.205
17.1.0.1.0. 977232.1707 997446.5633
17.15.0.3.0. 977223.111 997430.4479
17.2.0.2.0. 977233.5602 997444.1791
