Periodo Area Forma Grupo Reconstrucciones
1 38.27 Circular 1 0
1 28.22 Circular 1 0
1 24.2 Rectangular 1 0
1 153.42 Rectangular 1 2
1 66.14 Rectangular 1 0
1 29.05 Circular 1 0
1 82.27 Rectangular 2 0
1 41.64 Circular 2 0
1 68.04 Rectangular 2 1
1 238.73 Circular 2 2
1 95.33 Rectangular 2 2
1 110.21 Rectangular 2 0
1 62.8 Circular 2 0
1 31.1 Circular 3 0
1 26.64 Circular 3 0
1 20.95 Circular 3 0
1 39.27 Circular 3 0
1 37.47 Circular 3 0
1 71.63 Rectangular 3 0
1 82.42 Circular 3 1
1 74.94 Rectangular 3 0
1 138.05 Circular 3 0
1 55.2 Rectangular 3 0
1 63.1 Circular 3 0
1 61.96 Circular 3 0
1 138.28 Circular 3 2
1 175.66 Rectangular 4 1
1 75.35 Circular 4 3
1 42.66 Circular 4 1
1 35.48 Circular 4 0
1 21.95 Circular 4 1
2 28.22 Circular 1 0
2 132.69 Rectangular 1 0
2 153.42 Rectangular 1 2
2 66.14 Rectangular 1 0
2 82.27 Rectangular 2 0
2 68.04 Rectangular 2 1
2 80.72 Rectangular 2 0
2 9.42 Circular 2 0
2 238.73 Circular 2 2
2 95.33 Rectangular 2 2
2 71.45 Rectangular 2 0
2 110.21 Rectangular 2 0
2 98.53 Rectangular 2 0
2 283.93 Rectangular 3 2
2 260.6 Rectangular 3 2
2 82.42 Circular 3 1
2 74.94 Rectangular 3 0
2 283.44 Rectangular 3 3
2 55.2 Rectangular 3 0
2 212.58 Rectangular 3 1
2 61.96 Circular 3 0
2 266.72 Rectangular 3 3
2 65.74 Rectangular 4 0
2 151.15 Rectangular 4 1
2 175.66 Rectangular 4 1
2 44.52 Rectangular 4 0
2 75.35 Circular 4 3
2 42.66 Circular 4 1
2 35.48 Circular 4 0
2 21.95 Circular 4 1
2 65.05 Oval 4 5
2 25.72 Circular 4 0
2 62.77 Rectangular 4 0
2 66.47 Oval 4 1
3 132.69 Rectangular 1 0
3 153.42 Rectangular 1 2
3 66.14 Rectangular 1 0
3 82.27 Rectangular 2 0
3 80.72 Rectangular 2 0
3 9.42 Circular 2 0
3 238.73 Circular 2 2
3 95.33 Rectangular 2 2
3 71.45 Rectangular 2 0
3 283.93 Rectangular 3 2
3 260.6 Rectangular 3 2
3 283.44 Rectangular 3 3
3 212.58 Rectangular 3 1
3 266.72 Rectangular 3 3
3 65.74 Rectangular 4 0
3 151.15 Rectangular 4 1
3 175.66 Rectangular 4 1
3 44.52 Rectangular 4 0
3 65.05 Oval 4 5
3 25.72 Circular 4 0
3 62.77 Rectangular 4 0
3 66.47 Oval 4 1
