ID Grupo X Y Forma_tumba Orientacion_tumba Construcciones_internas Sexo Rango_de_edad Categoria_edad Estadio_edad Datacion_propuesta Tipo_objetos Orfebreria Num_orfebreria Esmeraldas Num_esmeraldas Volantes Num_volantes Num_Herrera Num_Temprano Num_Tardio Ceramica Num_Ceramica Liticos Num_liticos Cuentas_collar Num_cuentas_collar Fauna Num_fauna2 Macrorrestos Num_macrorrestos
1.2.1.0.1. 2 977081.7345 997491.1516 Pozo_simple O Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
1.2.NI1.0.1. 2 977081.6801 997491.0335 Pozo_simple O Ninguna NA Mayor_de_18_años Adulto Adulto NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
100.3.0.1.0. 1 977027.8451 997339.0761 Pozo_simple NA Escalon NA NA NA NA Temprano 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0
101.14.4.0.1. 1 977023.3101 997330.4814 Pozo_simple N Ninguna NA Mayor_de_18_años Adulto Adulto NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
101.15.0.1.0. 1 977021.9402 997329.8432 Pozo_con_camara NA Escalon NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
101.2.1.0.1. 1 977037.3628 997321.2125 Pozo_simple O Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
101.3.3.0.1. 1 977034.0516 997328.937 Pozo_simple O Lajas NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
101.7.2.0.1. 1 977029.9222 997332.6801 NA NA Ninguna NA 15_años_+/-_36_meses Subadulto Juvenil NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
102.1.1.0.1. 1 977030.5531 997300.9042 NA NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
102.14,24.7.0.1. 1 977034.0438 997304.7091 Pozo_con_camara S Escalon NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
102.26.3.0.1. 1 977032.4899 997311.8529 Pozo_simple S Ninguna NA 6_años_+/-_24_meses Subadulto Infantil_I NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
102.3.2.0.1. 1 977039.0812 997314.7842 Pozo_simple S Escalon NA 4_años_+/-_12_meses Subadulto Infantil_I NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
102.37,38.0.1.0. 1 977030.7483 997307.3154 Pozo_con_camara NA Escalon NA NA NA NA Temprano 3 1 2 0 0 0 0 0 2 0 1 2 0 0 1 1 0 0 0 0
102.41.4.0.1. 1 977031.3474 997302.4426 Pozo_simple E Ninguna NA Mayor_de_18_años Adulto Adulto NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
102.44.6.0.1. 1 977027.5002 997306.664 Pozo_con_nicho E Ninguna NA NA NA NA Temprano 1 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0
102.55.0.3.0. 1 977022.1738 997305.5716 Pozo_con_camara NA Escalon NA NA NA NA Tardio 1 0 0 0 0 0 0 1 1 0 1 2 0 0 0 0 0 0 0 0
102.7.0.2.0. 1 977042.2053 997299.5691 Pozo_con_camara NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
102.7A.5.0.1. 1 977041.303 997299.5117 Pozo_simple S Ninguna NA NA NA NA NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0
103.2.1.0.1. 1 977039.1602 997292.1525 Pozo_simple N Ninguna Masculino Mayor_de_18_años Adulto Adulto NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
103.3.2.0.1. 1 977036.5725 997292.5958 Pozo_simple S Escalon NA Mayor_de_18_años Adulto Adulto NA 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 2 0 0
107.13.0.2.0. 1 977008.9471 997334.5929 Pozo_simple NA Escalon NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
107.5.0.1.0. 1 976993.3952 997339.0215 Pozo_simple NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
108.27.3.0.1. 1 977008.4556 997311.6305 Pozo_con_camara E Escalon NA 15_años_+/-_36_meses Subadulto Juvenil NA 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
108.28,29.2.0.1. 1 977008.3326 997313.283 Pozo_con_camara E Varias NA Mayor_de_18_años Adulto Adulto NA 2 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
108.33.1.0.1. 1 977008.9248 997317.2556 NA NA Ninguna NA Mayor_de_18_años Adulto Adulto NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
108.36.4.0.1. 1 977010.7113 997315.2301 Pozo_con_camara S Escalon NA NA NA NA NA 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
108.69.0.3.0. 1 977009.8387 997318.1672 Pozo_con_camara NA Escalon NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
108.77.0.1.0. 1 976998.1395 997319.4226 Pozo_con_camara NA Escalon NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
109.10.5.0.1. 1 977010.5737 997309.0282 Pozo_con_camara N Ninguna NA NA NA NA NA 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
109.11,12.6.0.1. 1 977008.2329 997308.4994 Pozo_simple N Escalon NA Mayor_de_18_años Adulto Adulto NA 2 1 1 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
109.11A.1.0.1. 1 977007.2718 997309.733 NA S Ninguna NA Mayor_de_18_años Adulto Adulto NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
109.18.0.12.0. 1 977005.3299 997309.3363 Pozo_con_camara NA Ninguna NA NA NA NA NA 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
