ID_original Tipo_de_rasgo ID_resumido Grupo X Y Forma Total_ceramica Total_liticos Total_macrorestos Total_oro Total_fauna Total_volantes
100.1.5.15 Indefinido 100.1 1 977029.0854 997341.1133 Circular 0 1 0 0 0 0
100.11.5.19 Indefinido 100.11 1 977014.611 997342.1913 Irregular 0 0 0 0 0 0
100.13.5.19 Indefinido 100.13 1 977012.1997 997348.4816 Irregular 0 1 0 0 0 0
100.14.5.19 Indefinido 100.14 1 977027.29 997354.1762 Irregular 0 0 0 0 0 0
100.15.5.19 Indefinido 100.15 1 977021.2534 997335.3286 Irregular 0 0 0 0 0 0
100.2.5.19 Indefinido 100.2 1 977024.869 997353.1185 Irregular 0 0 0 0 0 0
100.4.3.9 Deposito 100.4 1 977024.4099 997339.8584 Oval 0 1 0 0 0 0
100.5.3.9 Deposito 100.5 1 977025.5977 997343.6842 Oval 1 2 0 0 0 0
100.6.6.21 Negativo 100.6 1 977022.3877 997340.044 Circular 0 0 0 0 0 0
100.7.3.9 Deposito 100.7 1 977021.7895 997339.1457 Oval 3 9 0 0 0 0
100.8.3.8 Deposito 100.8 1 977021.3776 997337.2246 Circular 0 1 0 0 0 0
100.9.6.22 Negativo 100.9 1 977022.6494 997342.0245 Oval 0 0 0 0 0 0
101.10.5.15 Indefinido 101.1 1 977030.8509 997318.9303 Circular 0 1 0 0 0 0
101.11.6.24 Negativo 101.11 1 977026.0718 997326.3185 Irregular 0 0 0 0 0 0
101.12.6.24 Negativo 101.12 1 977027.1564 997320.2747 Irregular 0 0 0 0 0 0
101.13.5.19 Indefinido 101.13 1 977023.0732 997332.9683 Irregular 0 2 0 0 0 0
101.18.5.16 Indefinido 101.18 1 977020.869 997320.3167 Oval 0 0 0 0 0 0
101.4.5.15 Indefinido 101.4 1 977035.1199 997319.8596 Circular 0 3 0 0 0 0
101.5.5.14 Indefinido 101.5 1 977032.0328 997326.1391 Rectangular 0 2 0 0 0 0
101.6.3.8 Deposito 101.6 1 977030.3473 997324.6866 Circular 0 1 0 0 1 0
101.8.5.15 Indefinido 101.8 1 977030.7562 997322.4989 Circular 0 1 20 0 0 0
101.9.3.8 Deposito 101.9 1 977031.9209 997320.7882 Circular 0 1 1 0 0 0
102.10.5.15 Indefinido 102.1 1 977037.54 997309.7395 Circular 0 1 0 0 0 0
102.12.5.19 Indefinido 102.12 1 977035.4914 997310.9862 Irregular 0 0 0 0 0 0
102.16.5.18 Indefinido 102.16 1 977036.9743 997303.6358 Cuadrangular 0 0 0 0 0 0
102.18.3.7 Deposito 102.18 1 977038.7412 997301.1198 Rectangular 0 0 0 0 0 0
102.2.3.11 Deposito 102.2 1 977038.2873 997316.3907 Cuadrangular 0 0 0 0 0 0
102.21.5.16 Indefinido 102.21 1 977036.1259 997303.8033 Oval 0 0 0 0 0 0
102.25.3.10 Deposito 102.25 1 977032.6486 997310.3991 Oval 0 0 0 0 0 0
102.27.3.8 Deposito 102.27 1 977031.2857 997315.0652 Circular 0 0 7 0 4 0
102.29.3.9 Deposito 102.29 1 977030.7877 997310.2604 Oval 0 7 3 0 1 0
102.30.6.21 Negativo 102.3 1 977033.018 997309.078 Circular 0 0 0 0 0 0
102.31.5.15 Indefinido 102.31 1 977031.366 997309.1751 Circular 0 0 0 0 0 0
102.36.5.16 Indefinido 102.36 1 977027.4523 997305.0142 Oval 0 0 0 0 0 0
102.39.5.15 Indefinido 102.39 1 977029.7887 997310.0764 Circular 0 0 0 0 0 0
102.4.3.8 Deposito 102.4 1 977039.568 997312.2491 Circular 0 0 0 0 0 0
102.43.6.22 Negativo 102.43 1 977031.9589 997296.3212 Oval 0 0 0 0 0 0
102.46.3.12 Deposito 102.46 1 977026.3091 997307.3068 Irregular 0 1 0 0 0 0
102.53.5.15 Indefinido 102.53 1 977021.9479 997311.2997 Circular 0 0 0 0 0 0
102.54.5.15 Indefinido 102.54 1 977021.2367 997311.1408 Circular 0 0 0 0 0 0
102.56.3.9 Deposito 102.56 1 977024.2374 997300.6001 Oval 0 0 0 0 0 0
102.8.3.9 Deposito 102.8 1 977040.306 997299.1178 Oval 0 0 28 0 0 0
102.8A.5.14 Indefinido 102.8A 1 977040.6703 997298.5455 Rectangular 0 0 0 0 0 0
102.8B.6.21 Negativo 102.8B 1 977040.6967 997297.9678 Circular 0 0 0 0 0 0
104.1.5.16 Indefinido 104.1 1 976982.5303 997387.5337 Oval 0 0 0 0 0 0
104.5.5.16.1 Indefinido 104.5 1 976984.132 997404.7245 Oval 0 1 7 0 0 0
104.6.3.8 Deposito 104.6 1 976990.2669 997401.1768 Circular 0 3 0 0 0 0
105.16.5.18 Indefinido 105.16 1 976998.5041 997377.0526 Cuadrangular 0 0 0 0 0 0
105.18.5.15.1 Indefinido 105.18 1 976985.8858 997374.5952 Circular 0 3 0 0 0 0
105.19.5.16 Indefinido 105.19 1 976985.6474 997371.795 Oval 0 0 0 0 0 0
105.20.5.18 Indefinido 105.2 1 976994.2855 997371.6807 Cuadrangular 0 0 0 0 0 0
105.23.5.16 Indefinido 105.23 1 976983.0829 997377.9027 Oval 0 0 0 0 0 0
106.1.3.13 Deposito 106.1 1 976997.5174 997358.6346 NA 0 1 0 0 0 0
106.10.11.5.15 Indefinido 106.10.11 1 976996.6715 997358.9111 Circular 0 1 0 0 0 0
106.12.3.12 Deposito 106.12 1 976995.9323 997353.6865 Irregular 0 1 0 0 0 0
106.13.5.15 Indefinido 106.13 1 976989.5375 997365.4528 Circular 1 0 0 0 0 0
106.2.3.11 Deposito 106.2 1 977006.0077 997363.8002 Cuadrangular 0 1 0 0 0 0
106.3.3.11 Deposito 106.3 1 977004.947 997364.0458 Cuadrangular 0 0 0 0 0 0
106.6.6.21 Negativo 106.6 1 977002.1944 997359.0438 Circular 1 0 0 0 0 0
106.7.5.18 Indefinido 106.7 1 977002.088 997358.1886 Cuadrangular 0 1 0 0 0 0
107.11.5.15.1 Indefinido 107.11 1 977003.4793 997336.7946 Circular 0 0 0 0 0 0
107.12.5.16 Indefinido 107.12 1 977010.7971 997336.8548 Oval 0 0 0 0 0 0
